station,diff
50ppm,-0.4
50ppm,0.34
50ppm,0.19
50ppm,0.05
50ppm,-0.14
100ppm,0.01
100ppm,-0.39
100ppm,-0.08
100ppm,-0.09
100ppm,-0.31
150ppm,0.65
150ppm,0.53
150ppm,0.39
150ppm,-0.15
150ppm,0.46
200ppm,0.24
200ppm,0.44
200ppm,0.13
200ppm,1.03
200ppm,0.05
